TC ID,Test type,Test case Name,Description,Actions,Expected Results,Test Repository Path,Status,User story,Scenario Type,Priority
TC-EZ-2089-POS-001,Manual,Verify forms appear after the effective date,Verify that the Marsh Private Panel endorsement forms are available when the submission effective date is after 10/09/2026,1. Log in to EZ Docs|2. Select Financial Lines LOB|3. Open a D&O submission with effective date after 10/09/2026|4. Select Marsh Private Panel from the product dropdown|5. Enter all mandatory fields|6. Open the endorsement section and click Add Endorsement,1. The submission opens successfully|2. Marsh Private Panel is selected|3. Mandatory fields are accepted without errors|4. The forms list appears|5. The forms ZC-Marsh PP-14102 U through ZC-Marsh PP-14120 U are visible,BAU September 2026/EZ-2089,To-do,EZ-2089,Positive,High
TC-EZ-2089-POS-002,Manual,Enter mandatory content for the additional entities form,Verify that the additional entities form accepts free text and date values and shows them in the form preview,1. Open the D&O submission with effective date after 10/09/2026|2. Select Marsh Private Panel|3. Open the endorsement section|4. Select form ZC-Marsh PP-14102 U|5. Enter additional entity text and pending or prior litigation dates|6. Save and preview the form,1. The form opens without validation errors|2. The entered values are accepted|3. The form preview shows the data|4. No error message is displayed,BAU September 2026/EZ-2089,To-do,EZ-2089,Positive,High
TC-EZ-2089-POS-003,Manual,Accept date ranges for guaranteed renewal forms,Verify that the guaranteed renewal endorsement accepts two date ranges and displays them in the printed document,1. Open the endorsement section|2. Select form ZC-Marsh PP-14104|3. Enter the first policy period inception and expiry dates|4. Enter the second policy period inception and expiry dates|5. Save the form and preview the document,1. Both date ranges are accepted|2. The preview displays both rows|3. The data is retained after save|4. No validation messages appear,BAU September 2026/EZ-2089,To-do,EZ-2089,Positive,High
TC-EZ-2089-POS-004,Manual,Accept amount fields for EPL retention and limit forms,"Verify that the amount fields for forms ZC-Marsh PP-14105, ZC-Marsh PP-14106 and ZC-Marsh PP-14110 are accepted and reflected in the form output",1. Open the endorsement section|2. Select form ZC-Marsh PP-14105|3. Enter an EPL class action retention amount|4. Select form ZC-Marsh PP-14106|5. Enter D&O and EPL effective dates and limit amounts|6. Select form ZC-Marsh PP-14110|7. Enter D&O and EPL effective dates and limit amounts|8. Save and preview the forms,1. The amount values are accepted|2. The preview shows the inserted values|3. The forms are available for print|4. The UI remains stable,BAU September 2026/EZ-2089,To-do,EZ-2089,Positive,High
TC-EZ-2089-POS-005,Manual,Accepts growing table for the forms,Verify that the growing tables are accepted for the forms ZC-Marsh PP-14107 and ZC-Marsh PP-14115 ,"1. Open the endorsement section|2. Select form ZC-Marsh PP-14107|3. Under Excluded Subsidary, enter the data.|4. Select form ZC-Marsh PP-14115|5. Under Name of Indiviadul or Organization, enter the data.|6. Save and preview the forms",1. There should be growing tables for both the forms.|2. The preview shows the inserted values|3. The forms are available for print|4. The UI remains stable ,BAU September 2026/EZ-2089,To-do,EZ-2089,Positive,High
TC-EZ-2089-POS-006,Manual,Allow run-off forms with default time values,Verify that the run-off forms allow the user to use the default 12:01 AM time and change it if needed,1. Open the endorsement section|2. Select form ZC-Marsh PP-14117 or ZC-Marsh PP-14118|3. Enter the original inception and new expiration dates|4. Review the run-off effective time field|5. Save the form and preview it,1. The default time value is displayed|2. The user can change the time value|3. The updated time is shown in the preview|4. The form saves successfully,BAU September 2026/EZ-2089,To-do,EZ-2089,Positive,High
TC-EZ-2089-POS-007,Manual,Allow free text for the forms,"Verify that any free text can be added for the forms ZC-Marsh PP-14108, ZC-Marsh PP-14111, ZC-Marsh PP-14112, ZC-Marsh PP-14116, ZC-Marsh PP-14119 and ZC-Marsh PP-14120",1. Open the endorsement section|2. Add the forms.|3. Add the free text available for the given forms.|4. Save the forms and preview it.,1. Free text should be accepted by all the forms.|2. The preview shows the inserted free text|3. The forms are available for print|4. The UI remains stable ,BAU September 2026/EZ-2089,To-do,EZ-2089,Positive,High
TC-EZ-2089-POS-008,Manual,Complete the quote binder and midterm workflow,Verify that the user can proceed with quote binder policy and midterm transactions after the forms are added and populated,1. Open a D&O submission with effective date after 10/09/2026|2. Select Marsh Private Panel|3. Add the required endorsement forms|4. Populate mandatory fields for each selected form|5. Proceed through quote binder policy and midterm transaction options,1. The workflow advances without errors|2. The selected forms remain visible in the UI|3. The printed documents include the populated form content|4. The transaction flow completes successfully,BAU September 2026/EZ-2089,To-do,EZ-2089,Positive,High
TC-EZ-2089-NEG-001,Manual,Hide forms before the effective date,Verify that the endorsement forms are not visible when the submission effective date is before 10/09/2026,1. Log in to EZ Docs|2. Select Financial Lines LOB|3. Open a D&O submission with effective date before 10/09/2026|4. Select Marsh Private Panel from the product dropdown|5. Open the endorsement section|6. Click Add Endorsement,1. The forms list does not appear|2. The listed Marsh Private Panel forms are hidden|3. The user is not allowed to continue with the unavailable forms,BAU September 2026/EZ-2089,To-do,EZ-2089,Negative,High
TC-EZ-2089-NEG-002,Manual,Block submission when mandatory fields are left blank,Verify that missing mandatory values prevent the form from being saved or submitted,1. Open the endorsement section|2. Select a form such as ZC-Marsh PP-14102 U|3. Leave required fields blank|4. Click Save or Continue|5. Review the validation response,1. The form is not saved|2. A validation message is shown for the missing mandatory field|3. The user remains on the same form screen,BAU September 2026/EZ-2089,To-do,EZ-2089,Negative,High
TC-EZ-2089-NEG-003,Manual,Reject invalid dates in the litigation and run-off fields,Verify that invalid date formats or impossible dates are rejected before the form can be saved,1. Open a form with date fields|2. Enter an invalid date format or a date outside the expected range|3. Click Save or Continue|4. Observe the validation behavior,1. The invalid date is rejected|2. A clear validation message is displayed|3. The form remains unsaved until the date is corrected,BAU September 2026/EZ-2089,To-do,EZ-2089,Negative,High
TC-EZ-2089-NEG-004,Manual,Reject invalid amounts in retention and limit fields,Verify that non numeric or malformed amount values are blocked for the monetary fields,1. Open a form containing amount fields such as ZC-Marsh PP-14105 or ZC-Marsh PP-14106|2. Enter a text value or malformed amount|3. Click Save or Continue|4. Review the result,1. The invalid amount is rejected|2. A validation error is shown|3. The form does not proceed to the next step,BAU September 2026/EZ-2089,To-do,EZ-2089,Negative,High
TC-EZ-2089-NEG-005,Manual,Reject invalid date sequencing for policy period extension,Verify that an expiry date earlier than the inception date is blocked,1. Open form ZC-Marsh PP-14111|2. Enter an expiry date earlier than the from date|3. Click Save or Continue|4. Review the error state,1. The invalid sequence is rejected|2. A validation message is displayed|3. The form stays in the editable state until corrected,BAU September 2026/EZ-2089,To-do,EZ-2089,Negative,High
TC-EZ-2089-NEG-006,Manual,Block forms when required free text is missing,Verify that forms requiring entity or organization names cannot be saved without the required free text entry,1. Open a form such as ZC-Marsh PP-14108 U or ZC-Marsh PP-14115 U|2. Leave the required free text field empty|3. Click Save or Continue|4. Review the validation outcome,1. The form is blocked from saving|2. A required field message is displayed|3. The user remains on the form screen,BAU September 2026/EZ-2089,To-do,EZ-2089,Negative,High
